Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
salt,Smoky Saffron Chard Zucchini Soup,dinner,2022-05-02,9,False,True,True
Seasonal Assortment of Fresh Vegetables,Performance Bar,lunch,2022-04-26,9,False,False,False
Salads,Performance Bar,lunch,2022-04-26,9,False,False,False
Beans,Performance Bar,lunch,2022-04-26,9,False,False,False
Whole Grains,Performance Bar,lunch,2022-04-26,9,False,False,False
Hard Boiled Eggs,Performance Bar,lunch,2022-04-26,9,False,False,False
Baked Chicken,Performance Bar,lunch,2022-04-26,9,False,False,False
Tofu,Performance Bar,lunch,2022-04-26,9,False,False,False
pasta,Pasta Marinara,dinner,2022-04-29,10,False,True,False
marinara sauce,Pasta Marinara,dinner,2022-04-29,10,False,True,False
pasta,Pasta Marinara,dinner,2022-05-09,11,False,True,False
marinara sauce,Pasta Marinara,dinner,2022-05-09,11,False,True,False
cannelli beans,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
vegetable soup base,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
red kidney beans,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
carrot,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
celery,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
onion,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
garlic,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
bay leaf,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
kale,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
canola/olive oil blend,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
lemon juice,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
salt,Bean & Kale Soup,dinner,2022-05-09,9,False,True,True
cage free eggs,Scrambled Eggs,breakfast,2022-05-10,1,True,False,False
canola/olive oil blend,Scrambled Eggs,breakfast,2022-05-10,1,True,False,False
ground turkey,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
fire roasted tomatoes,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
onions,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
canola/olive oil blend,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
flour,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
habanero chili,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
cumin,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
oregano,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
ancho chili paste,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
pasilla negro chili powder,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
garlic,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
salt,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
chili powder,Texas Turkey Chili,dinner,2022-05-05,7,False,False,False
"""just egg"" vegan egg substitute","""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
mushroom,"""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
spinach,"""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
vegan mozzarella cheese,"""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
bell pepper,"""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
olive canola oil,"""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
garlic,"""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
salt,"""Just Egg"" Vegan Frittata",dinner,2022-04-28,1,False,True,True
carrots,Roasted Carrots,dinner,2022-05-08,5,False,True,True
canola/olive oil blend,Roasted Carrots,dinner,2022-05-08,5,False,True,True
thyme,Roasted Carrots,dinner,2022-05-08,5,False,True,True
garlic,Roasted Carrots,dinner,2022-05-08,5,False,True,True
salt,Roasted Carrots,dinner,2022-05-08,5,False,True,True
ABF chicken (halal),Baked Chicken Breast,dinner,2022-05-08,2,False,False,True
canola/olive oil blend,Baked Chicken Breast,dinner,2022-05-08,2,False,False,True
salt,Baked Chicken Breast,dinner,2022-05-08,2,False,False,True
vegetable soup base,Matzo Ball Soup,lunch,2022-05-08,9,True,False,False
onion,Matzo Ball Soup,lunch,2022-05-08,9,True,False,False
carrot,Matzo Ball Soup,lunch,2022-05-08,9,True,False,False
celery,Matzo Ball Soup,lunch,2022-05-08,9,True,False,False
organic thyme,Matzo Ball Soup,lunch,2022-05-08,9,True,False,False
bay leaf,Matzo Ball Soup,lunch,2022-05-08,9,True,False,False
humanely raised pork,Al Pastor Fajitas,lunch,2022-05-04,0,False,False,True
bell peppers,Al Pastor Fajitas,lunch,2022-05-04,0,False,False,True
onions,Al Pastor Fajitas,lunch,2022-05-04,0,False,False,True
garlic,Al Pastor Fajitas,lunch,2022-05-04,0,False,False,True
vegetable soup base,Minestrone Soup,dinner,2022-04-29,8,False,True,False
orzo pasta,Minestrone Soup,dinner,2022-04-29,8,False,True,False
fire roasted tomatoes,Minestrone Soup,dinner,2022-04-29,8,False,True,False
zucchini,Minestrone Soup,dinner,2022-04-29,8,False,True,False
white beans,Minestrone Soup,dinner,2022-04-29,8,False,True,False
carrots,Minestrone Soup,dinner,2022-04-29,8,False,True,False
onions,Minestrone Soup,dinner,2022-04-29,8,False,True,False
celery,Minestrone Soup,dinner,2022-04-29,8,False,True,False
shiitake mushrooms,Minestrone Soup,dinner,2022-04-29,8,False,True,False
canola oil,Minestrone Soup,dinner,2022-04-29,8,False,True,False
olive oil,Minestrone Soup,dinner,2022-04-29,8,False,True,False
garlic,Minestrone Soup,dinner,2022-04-29,8,False,True,False
rosemary,Minestrone Soup,dinner,2022-04-29,8,False,True,False
carrots,Garlic Roasted Carrots,dinner,2022-05-06,5,False,True,True
canola/olive oil blend,Garlic Roasted Carrots,dinner,2022-05-06,5,False,True,True
garlic,Garlic Roasted Carrots,dinner,2022-05-06,5,False,True,True
thyme,Garlic Roasted Carrots,dinner,2022-05-06,5,False,True,True
salt,Garlic Roasted Carrots,dinner,2022-05-06,5,False,True,True
seasonal vegetables,Seasonal Steamed Vegetables,dinner,2022-05-09,4,False,True,True
swiss chard,Sauteed Swiss Chard,lunch,2022-04-29,5,False,True,False
salt,Sauteed Swiss Chard,lunch,2022-04-29,5,False,True,False
pepper,Sauteed Swiss Chard,lunch,2022-04-29,5,False,True,False
canola/olive oil blend,Sauteed Swiss Chard,lunch,2022-04-29,5,False,True,False
garlic,Sauteed Swiss Chard,lunch,2022-04-29,5,False,True,False
onions,Sauteed Swiss Chard,lunch,2022-04-29,5,False,True,False
ABF chicken (halal),Chicken Marsala,lunch,2022-05-10,2,False,False,True
mushroom,Chicken Marsala,lunch,2022-05-10,2,False,False,True
onion,Chicken Marsala,lunch,2022-05-10,2,False,False,True
canola olive oil,Chicken Marsala,lunch,2022-05-10,2,False,False,True
chicken soup base,Chicken Marsala,lunch,2022-05-10,2,False,False,True
oat milk,Chicken Marsala,lunch,2022-05-10,2,False,False,True
corn starch,Chicken Marsala,lunch,2022-05-10,2,False,False,True
garlic,Chicken Marsala,lunch,2022-05-10,2,False,False,True
lemon juice,Chicken Marsala,lunch,2022-05-10,2,False,False,True
onion powder,Chicken Marsala,lunch,2022-05-10,2,False,False,True
garlic powder,Chicken Marsala,lunch,2022-05-10,2,False,False,True
salt,Chicken Marsala,lunch,2022-05-10,2,False,False,True
pepper,Chicken Marsala,lunch,2022-05-10,2,False,False,True
thyme,Chicken Marsala,lunch,2022-05-10,2,False,False,True
bacon,Double Smoked Bacon,dinner,2022-04-28,8,False,False,True
salt,Double Smoked Bacon,dinner,2022-04-28,8,False,False,True
sugar,Double Smoked Bacon,dinner,2022-04-28,8,False,False,True
sodium phosphates,Double Smoked Bacon,dinner,2022-04-28,8,False,False,True
sodium erythorbate,Double Smoked Bacon,dinner,2022-04-28,8,False,False,True
grass fed beef (halal),Braised Beef Brisket,lunch,2022-05-06,0,False,False,True
ABF chicken (halal),Baked Chicken Breast,dinner,2022-05-05,2,False,False,True
canola/olive oil blend,Baked Chicken Breast,dinner,2022-05-05,2,False,False,True
salt,Baked Chicken Breast,dinner,2022-05-05,2,False,False,True
Seasonal Assortment of Fresh Vegetables,Performance Bar,dinner,2022-04-25,9,False,False,False
Salads,Performance Bar,dinner,2022-04-25,9,False,False,False
Beans,Performance Bar,dinner,2022-04-25,9,False,False,False
Whole Grains,Performance Bar,dinner,2022-04-25,9,False,False,False
Hard Boiled Eggs,Performance Bar,dinner,2022-04-25,9,False,False,False
Baked Chicken,Performance Bar,dinner,2022-04-25,9,False,False,False
Tofu,Performance Bar,dinner,2022-04-25,9,False,False,False
green beans,Blistered Green Beans,lunch,2022-04-26,5,False,True,False
canola/olive oil blend,Blistered Green Beans,lunch,2022-04-26,5,False,True,False
garlic,Blistered Green Beans,lunch,2022-04-26,5,False,True,False
fried shallots,Blistered Green Beans,lunch,2022-04-26,5,False,True,False
vegetable soup base,Matzo Ball Soup,dinner,2022-04-23,7,True,False,False
onion,Matzo Ball Soup,dinner,2022-04-23,7,True,False,False
carrot,Matzo Ball Soup,dinner,2022-04-23,7,True,False,False
celery,Matzo Ball Soup,dinner,2022-04-23,7,True,False,False
organic thyme,Matzo Ball Soup,dinner,2022-04-23,7,True,False,False
bay leaf,Matzo Ball Soup,dinner,2022-04-23,7,True,False,False
mung bean protein,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
canola oil,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
onion,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
gellan gum,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
carrot extractives,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
natural flavors,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
turmeric extractives,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
potassium citrate,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
salt,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
soy lecithin,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
sugar,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
tapioca syrup,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
tetrasodium pyrophosphate,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
transglutaminase,"Plant Powered ""Eggs”",breakfast,2022-05-09,5,False,True,True
humanely raised pork ,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
honey,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
dijon mustard,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
cayenne pepper,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
pepper,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
paprika,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
salt,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
cumin seed,Roasted Honey Mustard Pork,dinner,2022-05-07,0,False,False,True
Seasonal Assortment of Fresh Vegetables,Performance Bar,dinner,2022-04-24,7,False,False,False
Salads,Performance Bar,dinner,2022-04-24,7,False,False,False
Beans,Performance Bar,dinner,2022-04-24,7,False,False,False
Whole Grains,Performance Bar,dinner,2022-04-24,7,False,False,False
Hard Boiled Eggs,Performance Bar,dinner,2022-04-24,7,False,False,False
Baked Chicken,Performance Bar,dinner,2022-04-24,7,False,False,False
Tofu,Performance Bar,dinner,2022-04-24,7,False,False,False
butternut squash,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
vegetable soup base,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
carrots,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
onions,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
celery,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
butter,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
rice vinegar,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
cream,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
whole milk,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
flour,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
lemon,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
garlic,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
