Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
tortilla,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
cage free eggs,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
cheese,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
black beans,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
seasonal vegetables,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
canola/olive oil blend,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
salt,Breakfast Burrito,breakfast,2022-05-03,2,True,False,False
wild caught alaskan salmon,Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
"veracruzana sauce (diced tomatoes, onions, parsley, tomato concentrate, golden raisins, capers, olives, garlic, canola/olive oil blend, pepper, salt)",Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
cilantro,Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
salt,Salmon with Veracruzana Sauce,dinner,2022-05-06,0,False,False,True
seasonal vegetables,Seasonal Steamed Vegetables,lunch,2022-05-05,4,False,True,True
ABF chicken (halal),Citrus Cuban Chicken,dinner,2022-05-09,0,False,False,True
seasonal vegetables,Seasonal Steamed Vegetables,dinner,2022-05-08,4,False,True,True
enriched wheat flour,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
malted barley flour,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
salt,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
sugar,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
datem,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
enzymes,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
l-cysteine,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
calcium sulfate,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
dextrose,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
yeast,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
calcium propionate,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
monoglycerides,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
diglycerides ,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
citric acid,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
cornmeal,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
soybean oil,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
palm oil,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
dehydrated garlic,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
salt,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
natural flavors,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
artificial flavors,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
citric acid,Garlic Breadstick,lunch,2022-05-09,6,True,False,False
brown rice,Penne Pasta (Gluten-Free),dinner,2022-05-10,3,False,True,True
rice bran,Penne Pasta (Gluten-Free),dinner,2022-05-10,3,False,True,True
tofu,Jerk Tofu,dinner,2022-04-29,1,False,True,True
"jerk marinade (apple cider vinegar, alcohol free tamari, onion, jalapeno pepper, habanero pepper, canola/olive oil blend)",Jerk Tofu,dinner,2022-04-29,1,False,True,True
seasonal vegetables,Seasonal Steamed Vegetables,lunch,2022-04-30,4,False,True,True
basmati rice,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
raisins,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
cranberries,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
dates,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
canola/olive oil blend,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
cumin seed,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
onions,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
salt,Jeweled Basmati Rice,dinner,2022-04-23,3,False,True,True
organic lentils,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
kale,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
"super seedy crunch (sesame seeds, flaxseeds, organic quinoa, sunflower seeds, pumpkin seeds, salt)",Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
canola/olive oil blend,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
leeks,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
peppercorn,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
onion,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
"vegan cheese sauce (butternut squash, nutritional yeast, mushroom seasoning, onion powder, potato starch, garlic powder, sunflower seeds butter)",Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
celery,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
carrot,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
garlic,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
vegetable soup base,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
bay leaf,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
organic thyme,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
organic parsley,Lentil Risotto with Seasonal Vegetables,dinner,2022-05-02,1,False,True,False
chicken breast (halal),Chicken Piccata,lunch,2022-05-01,0,False,False,False
flour,Chicken Piccata,lunch,2022-05-01,0,False,False,False
buttermilk,Chicken Piccata,lunch,2022-05-01,0,False,False,False
eggs,Chicken Piccata,lunch,2022-05-01,0,False,False,False
paprika,Chicken Piccata,lunch,2022-05-01,0,False,False,False
garlic,Chicken Piccata,lunch,2022-05-01,0,False,False,False
onion,Chicken Piccata,lunch,2022-05-01,0,False,False,False
cayenne pepper,Chicken Piccata,lunch,2022-05-01,0,False,False,False
"chicken stock (contains carrots, celery)",Chicken Piccata,lunch,2022-05-01,0,False,False,False
"demi-glace (corn oil, modified cornstarch, palm oil, maltodextrin, sugar, beef stock, beef fat, corn, cottonseed oil, soy sauce, caramel color, yeast extract, mono/diglycerides, beef extract, soybean oil, lactic acid, butter, shallots, capers, lemon juice, whey, natural flavors, dextrose, turmeric, annatto)",Chicken Piccata,lunch,2022-05-01,0,False,False,False
parsley,Chicken Piccata,lunch,2022-05-01,0,False,False,False
basil,Chicken Piccata,lunch,2022-05-01,0,False,False,False
salt,Chicken Piccata,lunch,2022-05-01,0,False,False,False
sage,Chicken Piccata,lunch,2022-05-01,0,False,False,False
artichoke hearts,Chicken Piccata,lunch,2022-05-01,0,False,False,False
Seasonal Assortment of Fresh Vegetables,Performance Bar,lunch,2022-04-29,9,False,False,False
Salads,Performance Bar,lunch,2022-04-29,9,False,False,False
Beans,Performance Bar,lunch,2022-04-29,9,False,False,False
Whole Grains,Performance Bar,lunch,2022-04-29,9,False,False,False
Hard Boiled Eggs,Performance Bar,lunch,2022-04-29,9,False,False,False
Baked Chicken,Performance Bar,lunch,2022-04-29,9,False,False,False
Tofu,Performance Bar,lunch,2022-04-29,9,False,False,False
seasonal vegetables,Seasonal Steamed Vegetables,lunch,2022-05-01,4,False,True,True
tortilla,Breakfast Burrito,breakfast,2022-04-26,3,True,False,False
cage free eggs,Breakfast Burrito,breakfast,2022-04-26,3,True,False,False
cheese,Breakfast Burrito,breakfast,2022-04-26,3,True,False,False
black beans,Breakfast Burrito,breakfast,2022-04-26,3,True,False,False
seasonal vegetables,Breakfast Burrito,breakfast,2022-04-26,3,True,False,False
canola/olive oil blend,Breakfast Burrito,breakfast,2022-04-26,3,True,False,False
salt,Breakfast Burrito,breakfast,2022-04-26,3,True,False,False
enriched wheat flour,Waffles,breakfast,2022-05-09,6,True,False,False
sugar,Waffles,breakfast,2022-05-09,6,True,False,False
soybean oil,Waffles,breakfast,2022-05-09,6,True,False,False
leavings,Waffles,breakfast,2022-05-09,6,True,False,False
buckwheat flour,Waffles,breakfast,2022-05-09,6,True,False,False
buttermilk,Waffles,breakfast,2022-05-09,6,True,False,False
natural flavors,Waffles,breakfast,2022-05-09,6,True,False,False
artificial flavors,Waffles,breakfast,2022-05-09,6,True,False,False
wheat bran,Waffles,breakfast,2022-05-09,6,True,False,False
rice flour,Waffles,breakfast,2022-05-09,6,True,False,False
yellow corn flour,Waffles,breakfast,2022-05-09,6,True,False,False
whole oat flour,Waffles,breakfast,2022-05-09,6,True,False,False
whey,Waffles,breakfast,2022-05-09,6,True,False,False
whole egg,Waffles,breakfast,2022-05-09,6,True,False,False
salt,Waffles,breakfast,2022-05-09,6,True,False,False
dextrose,Waffles,breakfast,2022-05-09,6,True,False,False
wheat starch,Waffles,breakfast,2022-05-09,6,True,False,False
natural flavors,Waffles,breakfast,2022-05-09,6,True,False,False
artificial flavor,Waffles,breakfast,2022-05-09,6,True,False,False
malted barley flour,Waffles,breakfast,2022-05-09,6,True,False,False
grass fed beef (halal),Moroccan Beef,dinner,2022-04-23,0,False,False,True
pasta,Pasta Alfredo,dinner,2022-04-30,8,True,False,False
"white sauce (cream, butter, milk powder, flour, garlic, nutmeg, onion powder, white pepper, salt)",Pasta Alfredo,dinner,2022-04-30,8,True,False,False
mozzarella cheese,Pasta Alfredo,dinner,2022-04-30,8,True,False,False
ABF chicken (halal),Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
canola/olive oil blend,Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
salt,Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
pepper,Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
paprika,Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
onion powder,Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
garlic powder,Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
parsley,Smoked Rotisserie Chicken,lunch,2022-04-29,0,False,False,True
ABF chicken (halal),Baked Chicken Breast,dinner,2022-05-01,2,False,False,True
canola/olive oil blend,Baked Chicken Breast,dinner,2022-05-01,2,False,False,True
salt,Baked Chicken Breast,dinner,2022-05-01,2,False,False,True
chicken soup base,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
ABF chicken (halal),Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
pasta,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
celery,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
onion,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
carrot,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
canola/olive oil blend,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
bay leaf,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
thyme,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
parsley,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
garlic,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
turmeric,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
salt,Homestyle Chicken Soup,dinner,2022-04-25,7,False,False,False
ABF chicken (halal),Baked Chicken Breast,dinner,2022-04-29,2,False,False,True
canola/olive oil blend,Baked Chicken Breast,dinner,2022-04-29,2,False,False,True
salt,Baked Chicken Breast,dinner,2022-04-29,2,False,False,True
organic tofu,Tasty Tofu Scramble,breakfast,2022-04-28,5,False,True,False
seasonal vegetables,Tasty Tofu Scramble,breakfast,2022-04-28,5,False,True,False
canola/olive oil blend,Tasty Tofu Scramble,breakfast,2022-04-28,5,False,True,False
salt,Tasty Tofu Scramble,breakfast,2022-04-28,5,False,True,False
pepper,Tasty Tofu Scramble,breakfast,2022-04-28,5,False,True,False
turmeric,Tasty Tofu Scramble,breakfast,2022-04-28,5,False,True,False
organic tofu,Tasty Tofu Scramble,breakfast,2022-04-26,5,False,True,False
seasonal vegetables,Tasty Tofu Scramble,breakfast,2022-04-26,5,False,True,False
canola/olive oil blend,Tasty Tofu Scramble,breakfast,2022-04-26,5,False,True,False
salt,Tasty Tofu Scramble,breakfast,2022-04-26,5,False,True,False
pepper,Tasty Tofu Scramble,breakfast,2022-04-26,5,False,True,False
turmeric,Tasty Tofu Scramble,breakfast,2022-04-26,5,False,True,False
burger (ground lamb (halal),Lamb Burger,dinner,2022-05-09,12,False,False,False
eggplant,Lamb Burger,dinner,2022-05-09,12,False,False,False
tzatziki sauce,Lamb Burger,dinner,2022-05-09,12,False,False,False
onion,Lamb Burger,dinner,2022-05-09,12,False,False,False
mint,Lamb Burger,dinner,2022-05-09,12,False,False,False
cilantro,Lamb Burger,dinner,2022-05-09,12,False,False,False
masala spice,Lamb Burger,dinner,2022-05-09,12,False,False,False
chili powder,Lamb Burger,dinner,2022-05-09,12,False,False,False
egg white,Lamb Burger,dinner,2022-05-09,12,False,False,False
bread crumb,Lamb Burger,dinner,2022-05-09,12,False,False,False
"moroccan tomato kofta sauce (onion, shallot, garlic, canola olive oil, cumin, cilantro spice, cinnamon, masala, chili powder, tomato puree, mint, cilantro, salt)",Lamb Burger,dinner,2022-05-09,12,False,False,False
"picked red onion(onion, red wine vinegar, lime juice, lemon juice, oregano leaf, black pepper, sugar))",Lamb Burger,dinner,2022-05-09,12,False,False,False
"gluten-free crust (water, tapioca starch, rice ﬂour, potato starch, chickpea ﬂour, milled ﬂaxseed, rice starch, olive oil, cane sugar, yeast, sea salt, psyllium, chicory root extract, xanthan gum, locust bean gum)","""Cheese"" Lover's Gluten Free Pizza",lunch,2022-04-24,2,False,True,True
plant based cheese,"""Cheese"" Lover's Gluten Free Pizza",lunch,2022-04-24,2,False,True,True
Seasonal Assortment of Fresh Vegetables,Performance Bar,dinner,2022-05-04,9,False,False,False
Salads,Performance Bar,dinner,2022-05-04,9,False,False,False
Beans,Performance Bar,dinner,2022-05-04,9,False,False,False
Whole Grains,Performance Bar,dinner,2022-05-04,9,False,False,False
Hard Boiled Eggs,Performance Bar,dinner,2022-05-04,9,False,False,False
Baked Chicken,Performance Bar,dinner,2022-05-04,9,False,False,False
Tofu,Performance Bar,dinner,2022-05-04,9,False,False,False
mung bean protein,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
canola oil,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
onion,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
gellan gum,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
carrot extractives,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
natural flavors,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
turmeric extractives,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
potassium citrate,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
salt,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
soy lecithin,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
sugar,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
tapioca syrup,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
tetrasodium pyrophosphate,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
transglutaminase,"Plant Powered ""Eggs”",breakfast,2022-05-02,4,False,True,True
black beans,Seasoned Black Beans,lunch,2022-05-04,6,False,True,True
canola/olive oil blend,Seasoned Black Beans,lunch,2022-05-04,6,False,True,True
chicken thigh (halal),Chicken Verde,dinner,2022-05-01,0,False,False,False
"salsa verde (tomatillo, jalapeno pepper, cilantro, garlic, salt)",Chicken Verde,dinner,2022-05-01,0,False,False,False
humanely raised pork,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
garlic,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
oregano,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
parsley,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
smoked paprika,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
chili powder,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
coriander,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
cumin,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
turmeric,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
garlic powder,Puerto Rican Pernil Pork,dinner,2022-05-05,0,False,False,True
green beans,Blistered Green Beans,dinner,2022-05-02,5,False,True,False
canola/olive oil blend,Blistered Green Beans,dinner,2022-05-02,5,False,True,False
garlic,Blistered Green Beans,dinner,2022-05-02,5,False,True,False
fried shallots,Blistered Green Beans,dinner,2022-05-02,5,False,True,False
ground corn treated with lime,White Corn Tortilla,dinner,2022-05-08,7,False,True,True
water,White Corn Tortilla,dinner,2022-05-08,7,False,True,True
propionic acid,White Corn Tortilla,dinner,2022-05-08,7,False,True,True
sodium phosphate,White Corn Tortilla,dinner,2022-05-08,7,False,True,True
seasonal vegetables,Seasonal Steamed Vegetables,dinner,2022-04-28,4,False,True,True
ABF chicken (halal),Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
carrot,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
celery,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
onion,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
parsnip,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
leek,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
chicken soup base,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
turmeric,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
cumin seed,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
coriander seed,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
garlic,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
garbanzo beans,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
lemon juice,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
tomato paste,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
harissa paste,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
canola/olive oil blend,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
pepper,Moroccan Harira & Chicken Soup,lunch,2022-05-10,8,False,False,True
wild caught alaskan pollock,Mediterranean Pollock,lunch,2022-04-25,0,False,False,True
canola/olive oil blend,Mediterranean Pollock,lunch,2022-04-25,0,False,False,True
parsley,Mediterranean Pollock,lunch,2022-04-25,0,False,False,True
salt,Mediterranean Pollock,lunch,2022-04-25,0,False,False,True
pepper,Mediterranean Pollock,lunch,2022-04-25,0,False,False,True
zucchini,Zesty Turmeric Roasted Zucchini,dinner,2022-05-01,5,False,True,True
canola/olive oil blend,Zesty Turmeric Roasted Zucchini,dinner,2022-05-01,5,False,True,True
garlic,Zesty Turmeric Roasted Zucchini,dinner,2022-05-01,5,False,True,True
salt,Zesty Turmeric Roasted Zucchini,dinner,2022-05-01,5,False,True,True
dill,Zesty Turmeric Roasted Zucchini,dinner,2022-05-01,5,False,True,True
pasta,Pasta Marinara,lunch,2022-05-09,10,False,True,False
marinara sauce,Pasta Marinara,lunch,2022-05-09,10,False,True,False
pasta,Pasta Alfredo,dinner,2022-04-28,12,True,False,False
"white sauce (cream, butter, milk powder, flour, garlic, nutmeg, onion powder, white pepper, salt)",Pasta Alfredo,dinner,2022-04-28,12,True,False,False
mozzarella cheese,Pasta Alfredo,dinner,2022-04-28,12,True,False,False
seasonal vegetables,Seasonal Steamed Vegetables,dinner,2022-04-30,4,False,True,True
wheat flour,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
niacin,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
reduced iron,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
thiamin mononitrate,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
riboflavin,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
folic acid,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
malted barley flour,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
enzymes,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
ascorbic acid,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
sugar,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
soy flour,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
sodium bicarbonate,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
sodium aluminum phosphate,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
aluminum sulfate,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
monocalcium phosphate,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
canola or soybean oil,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
dextrose,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
salt,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
buttermilk,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
mono-diglycerides,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
soy lecithin,Buttermilk Pancakes,breakfast,2022-05-03,5,True,False,False
vegetable soup base,Matzo Ball Soup,dinner,2022-05-06,9,True,False,False
onion,Matzo Ball Soup,dinner,2022-05-06,9,True,False,False
carrot,Matzo Ball Soup,dinner,2022-05-06,9,True,False,False
celery,Matzo Ball Soup,dinner,2022-05-06,9,True,False,False
organic thyme,Matzo Ball Soup,dinner,2022-05-06,9,True,False,False
bay leaf,Matzo Ball Soup,dinner,2022-05-06,9,True,False,False
pasta,Pasta Alfredo,lunch,2022-05-05,10,True,False,False
"white sauce (cream, butter, milk powder, flour, garlic, nutmeg, onion powder, white pepper, salt)",Pasta Alfredo,lunch,2022-05-05,10,True,False,False
mozzarella cheese,Pasta Alfredo,lunch,2022-05-05,10,True,False,False
pasta,Pasta Alfredo,lunch,2022-04-23,9,True,False,False
"white sauce (cream, butter, milk powder, flour, garlic, nutmeg, onion powder, white pepper, salt)",Pasta Alfredo,lunch,2022-04-23,9,True,False,False
mozzarella cheese,Pasta Alfredo,lunch,2022-04-23,9,True,False,False
pinto beans,Seasoned Pinto Beans,dinner,2022-04-27,6,False,True,True
onions,Seasoned Pinto Beans,dinner,2022-04-27,6,False,True,True
garlic,Seasoned Pinto Beans,dinner,2022-04-27,6,False,True,True
Tortillas,Burrito Bar,dinner,2022-04-27,7,False,False,False
Avocado Salsa,Burrito Bar,dinner,2022-04-27,7,False,False,False
Salsa Roja,Burrito Bar,dinner,2022-04-27,7,False,False,False
Queso Fresco,Burrito Bar,dinner,2022-04-27,7,False,False,False
black beans,Feijoada,dinner,2022-04-30,1,False,True,True
fire roasted tomatoes,Feijoada,dinner,2022-04-30,1,False,True,True
mushrooms,Feijoada,dinner,2022-04-30,1,False,True,True
onions,Feijoada,dinner,2022-04-30,1,False,True,True
bell peppers,Feijoada,dinner,2022-04-30,1,False,True,True
cilantro,Feijoada,dinner,2022-04-30,1,False,True,True
sweet potato,Feijoada,dinner,2022-04-30,1,False,True,True
cumin seed,Feijoada,dinner,2022-04-30,1,False,True,True
paprika,Feijoada,dinner,2022-04-30,1,False,True,True
"vegetable soup base (contains mushroom, celery)",Feijoada,dinner,2022-04-30,1,False,True,True
bay leaf,Feijoada,dinner,2022-04-30,1,False,True,True
oregano,Feijoada,dinner,2022-04-30,1,False,True,True
enriched wheat flour,Waffles,breakfast,2022-05-02,5,True,False,False
sugar,Waffles,breakfast,2022-05-02,5,True,False,False
soybean oil,Waffles,breakfast,2022-05-02,5,True,False,False
leavings,Waffles,breakfast,2022-05-02,5,True,False,False
buckwheat flour,Waffles,breakfast,2022-05-02,5,True,False,False
buttermilk,Waffles,breakfast,2022-05-02,5,True,False,False
natural flavors,Waffles,breakfast,2022-05-02,5,True,False,False
artificial flavors,Waffles,breakfast,2022-05-02,5,True,False,False
wheat bran,Waffles,breakfast,2022-05-02,5,True,False,False
rice flour,Waffles,breakfast,2022-05-02,5,True,False,False
yellow corn flour,Waffles,breakfast,2022-05-02,5,True,False,False
whole oat flour,Waffles,breakfast,2022-05-02,5,True,False,False
whey,Waffles,breakfast,2022-05-02,5,True,False,False
whole egg,Waffles,breakfast,2022-05-02,5,True,False,False
salt,Waffles,breakfast,2022-05-02,5,True,False,False
dextrose,Waffles,breakfast,2022-05-02,5,True,False,False
wheat starch,Waffles,breakfast,2022-05-02,5,True,False,False
natural flavors,Waffles,breakfast,2022-05-02,5,True,False,False
artificial flavor,Waffles,breakfast,2022-05-02,5,True,False,False
malted barley flour,Waffles,breakfast,2022-05-02,5,True,False,False
potatoes,French Fries,lunch,2022-05-05,6,False,True,True
canola oil,French Fries,lunch,2022-05-05,6,False,True,True
corn oil,French Fries,lunch,2022-05-05,6,False,True,True
cottonseed oil,French Fries,lunch,2022-05-05,6,False,True,True
palm oil,French Fries,lunch,2022-05-05,6,False,True,True
soybean oil,French Fries,lunch,2022-05-05,6,False,True,True
sunflower oil,French Fries,lunch,2022-05-05,6,False,True,True
modified food starch,French Fries,lunch,2022-05-05,6,False,True,True
rice flour,French Fries,lunch,2022-05-05,6,False,True,True
dextrin,French Fries,lunch,2022-05-05,6,False,True,True
sea salt,French Fries,lunch,2022-05-05,6,False,True,True
sugar,French Fries,lunch,2022-05-05,6,False,True,True
leavening,French Fries,lunch,2022-05-05,6,False,True,True
garlic powder,French Fries,lunch,2022-05-05,6,False,True,True
spices,French Fries,lunch,2022-05-05,6,False,True,True
natural flavors,French Fries,lunch,2022-05-05,6,False,True,True
onion powder,French Fries,lunch,2022-05-05,6,False,True,True
dextrose,French Fries,lunch,2022-05-05,6,False,True,True
xanthan gum,French Fries,lunch,2022-05-05,6,False,True,True
salt,French Fries,lunch,2022-05-05,6,False,True,True
spice,French Fries,lunch,2022-05-05,6,False,True,True
coloring,French Fries,lunch,2022-05-05,6,False,True,True
bok choy,Baby Bok Choy,lunch,2022-04-27,5,False,True,False
sugar,Baby Bok Choy,lunch,2022-04-27,5,False,True,False
mushroom seasoning,Baby Bok Choy,lunch,2022-04-27,5,False,True,False
canola/olive oil blend,Baby Bok Choy,lunch,2022-04-27,5,False,True,False
chicken (not halal),Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
apples,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
salt,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
sugar,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
dextrose,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
spices,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
cultured whey,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
paprika,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
soybean oil,Chicken Apple Sausage *NOT HALAL*,breakfast,2022-05-06,2,False,False,False
cage free eggs,Scrambled Eggs,breakfast,2022-05-05,1,True,False,False
canola/olive oil blend,Scrambled Eggs,breakfast,2022-05-05,1,True,False,False
Seasonal Assortment of Fresh Vegetables,Performance Bar,lunch,2022-04-23,8,False,False,False
Salads,Performance Bar,lunch,2022-04-23,8,False,False,False
Beans,Performance Bar,lunch,2022-04-23,8,False,False,False
Whole Grains,Performance Bar,lunch,2022-04-23,8,False,False,False
Hard Boiled Eggs,Performance Bar,lunch,2022-04-23,8,False,False,False
